generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-5.61039,-22276.4,100,1
15000,1,6.65406,-22004.3,0.745708,0.157523
30000,1,6.87002,-21996.9,1.46409,0.300067
45000,0,1.17444,-22008.9,0.0664247,0.260533
60000,0,1.11997,-22002.9,0.274665,0.148
75000,1,6.11178,-21983.4,1.94505,0.220933
90000,1,6.52641,-21989.8,0.786032,0.268908
105000,1,6.98232,-21988.2,1.55196,0.279089
120000,1,6.06795,-21983.9,0.973708,0.320867
135000,4,14.7662,-21956.5,5.91187,0.298133
150000,5,13.3575,-21945.5,5.55389,0.3022
165000,3,11.3574,-21952.5,3.96218,0.316
180000,4,13.8117,-21945.2,3.56111,0.303711
195000,8,39.0777,-21881.1,8.28858,0.307787
210000,6,26.9945,-21898.8,8.57707,0.319022
225000,5,16.4806,-21920,5.38531,0.323222
240000,7,32.8326,-21871.6,6.45664,0.329533
255000,8,37.4535,-21859.3,6.65179,0.320111
270000,8,31.289,-21852.9,6.73902,0.320533
285000,7,20.7486,-21842.2,7.23098,0.319667
300000,12,38.4555,-21876.6,10.2996,0.312987
315000,9,29.5254,-21849.1,8.77556,0.357867
330000,15,67.3454,-21808.3,12.4582,0.327967
345000,14,54.2557,-21772.3,14.6263,0.3226
360000,11,46.4668,-21774.5,9.12031,0.344267
375000,15,63.4037,-21803.2,12.0415,0.347189
390000,17,67.6237,-21783.7,15.0439,0.349467
405000,13,59.1162,-21798.3,8.64596,0.321533
420000,12,45.1981,-21794.3,11.2258,0.3669
435000,11,43.7251,-21792.1,13.779,0.340533
450000,21,92.0817,-21753.9,27.7595,0.364822
465000,27,111.719,-21737.2,28.7955,0.384067
480000,25,103.04,-21723.9,26.2355,0.372733
495000,40,189.276,-21744.2,45.0961,0.3832
510000,14,62.2011,-21804.2,16.3155,0.319495
525000,18,73.6072,-21810.3,21.4436,0.3284
540000,24,101.414,-21743.4,20.4264,0.362219
555000,25,107.087,-21734.1,27.319,0.369733
570000,23,95.8317,-21748.8,23.0486,0.389533
585000,26,119.603,-21729.1,35.306,0.386067
600000,19,73.1668,-21732.2,19.5528,0.362733
615000,23,101.305,-21707.2,38.6034,0.383792
630000,36,155.197,-21719.4,35.8063,0.374867
645000,30,122.262,-21734.3,27.7276,0.397533
660000,27,110.052,-21711.7,22.9392,0.388333
675000,25,106.002,-21727.8,36.2125,0.374867
690000,32,142.916,-21697.6,38.9663,0.387667
705000,29,119.457,-21708.8,34.007,0.385533
720000,35,160.156,-21708.4,39.711,0.3802
735000,45,179.745,-21690.4,41.0013,0.372843
750000,33,145.836,-21690.8,33.718,0.3941
765000,36,168.352,-21715.5,39.4907,0.3782
780000,38,165.087,-21680,41.331,0.387578
795000,37,157.576,-21680.4,56.2375,0.3835
810000,50,205.874,-21680.4,50.0449,0.395
825000,41,172.126,-21694,41.6999,0.408733
840000,40,171.883,-21674.7,39.9101,0.387827
855000,43,183.786,-21682.5,44.8021,0.397967
870000,58,255.861,-21664.3,66.4185,0.394678
885000,39,170.988,-21671.8,41.0427,0.401467
900000,45,207.664,-21664.2,65.6728,0.383
915000,41,182.157,-21686.8,53.056,0.3966
930000,32,134.674,-21683.3,34.4617,0.390067
945000,31,131.423,-21685.1,31.6897,0.366667
960000,55,251.931,-21669.6,54.3214,0.389217
975000,53,241.708,-21646,50.6011,0.423467
