Family,Genus,Species,Trophic_ID,Size,Activity,Position,Range,SST,Pprod,DistIAA,Ocean,lambda_median,mu_median,net_div_median
Acanthuridae,Acanthurus,Acanthurus_achilles,HD,24,Day,Benthic,591,27.36731015,253.6559411,99.99907568,IP,0.142425539,0.030987917,0.111437622
Acanthuridae,Acanthurus,Acanthurus_albimento,NA,25.24,NA,NA,NA,NA,NA,NA,NA,0.141515947,0.031444537,0.110071409
Acanthuridae,Acanthurus,Acanthurus_albipectoralis,PK,33,Day,Benthopelagic,161,26.39789317,304.8158329,36.07818008,IP,0.142147162,0.030960286,0.111186875
Acanthuridae,Acanthurus,Acanthurus_auranticavus,HD,45,Day,Benthic,566,28.54551464,621.0358552,3.007121951,IP,0.144679434,0.030681098,0.113998337
Acanthuridae,Acanthurus,Acanthurus_bahianus,HD,38,Day,Benthopelagic,310,26.69439484,535.2967223,196.8193459,Atl,0.143904018,0.030943514,0.112960504
Acanthuridae,Acanthurus,Acanthurus_bariene,HD,50,Day,Benthic,843,28.30945269,580.520739,2.430913567,IP,0.144147281,0.030877301,0.113269981
Acanthuridae,Acanthurus,Acanthurus_blochii,HD,45,Day,Benthic,1215,27.70738401,425.128083,4.400021812,IP,0.144333767,0.030987745,0.113346022
Acanthuridae,Acanthurus,Acanthurus_chirurgus,HD,39,Day,Benthopelagic,369,26.29318537,759.9520829,191.969986,Atl,0.143803648,0.03085315,0.112950499
Acanthuridae,Acanthurus,Acanthurus_chronixis,HD,28,Day,Benthic,4,29.446275,343.3768,33.26310542,IP,0.142752987,0.03103855,0.111714437
Acanthuridae,Acanthurus,Acanthurus_coeruleus,HD,39,Day,Benthopelagic,313,26.12837412,607.2698927,196.9312542,Atl,0.141979075,0.031318609,0.110660466
Acanthuridae,Acanthurus,Acanthurus_dussumieri,HD,54,Day,Benthic,1333,27.33251084,553.8571964,5.176259691,IP,0.144264335,0.031058049,0.113206286
Acanthuridae,Acanthurus,Acanthurus_fowleri,HD,45,Day,Benthic,385,28.83221922,579.0800956,6.129890304,IP,0.143367436,0.030718406,0.11264903
Acanthuridae,Acanthurus,Acanthurus_gahhm,HD,40,Day,Benthic,74,27.61984,1047.75995,81.0635601,IP,0.143425311,0.030860379,0.112564932
Acanthuridae,Acanthurus,Acanthurus_grammoptilus,HD,35,Day,Benthic,176,26.96146264,614.1611483,22.28592421,IP,0.143649961,0.030520868,0.113129093
Acanthuridae,Acanthurus,Acanthurus_guttatus,HD,26,Day,Benthic,1170,27.8612147,367.1584377,4.400021812,IP,0.141989445,0.031088282,0.110901163
Acanthuridae,Acanthurus,Acanthurus_japonicus,HD,21,Day,Benthic,194,27.78240876,433.7096366,11.26225753,IP,0.142407607,0.0309858,0.111421807
Acanthuridae,Acanthurus,Acanthurus_leucocheilus,HD,45,Day,Benthic,627,28.566277,585.0057131,1.852022734,IP,0.144337066,0.031014526,0.11332254
Acanthuridae,Acanthurus,Acanthurus_leucopareius,HD,25,Day,Benthic,309,25.72528964,292.1760689,96.22940109,IP,0.142874657,0.030880189,0.111994468
Acanthuridae,Acanthurus,Acanthurus_leucosternon,HD,54,Day,Benthic,415,27.68928862,690.2415201,62.5049471,IP,0.142373271,0.031060994,0.111312278
Acanthuridae,Acanthurus,Acanthurus_lineatus,HD,38,Day,Benthic,1633,27.85959569,486.8995656,8.984617673,IP,0.141843446,0.031189025,0.110654421
Acanthuridae,Acanthurus,Acanthurus_maculiceps,HD,40,Day,Benthic,782,28.40842353,479.9514335,4.530545133,IP,0.143568188,0.030553662,0.113014526
Acanthuridae,Acanthurus,Acanthurus_mata,PK,50,Day,Benthopelagic,1721,27.92490734,594.7230885,6.653678415,IP,0.144249747,0.030772756,0.113476991
Acanthuridae,Acanthurus,Acanthurus_mindorensis,HD,NA,Day,Benthic,NA,NA,NA,NA,NA,0.143505426,0.030747943,0.112757483
Acanthuridae,Acanthurus,Acanthurus_monroviae,HD,45,Day,Benthopelagic,147,24.69507448,1309.074269,130.9894069,Atl,0.143786301,0.031255896,0.112530405
Acanthuridae,Acanthurus,Acanthurus_nigricans,HD,21.3,Day,Benthic,1410,27.79883941,438.637405,2.517792047,IP,0.14223458,0.0309858,0.11124878
Acanthuridae,Acanthurus,Acanthurus_nigricauda,HD,40,Day,Benthic,1523,28.00931282,486.1385465,8.984617673,IP,0.143968265,0.030849848,0.113118416
Acanthuridae,Acanthurus,Acanthurus_nigrofuscus,HD,21,Day,Benthic,1871,27.55629299,503.2192906,9.970369015,IP,0.142010038,0.030707133,0.111302904
Acanthuridae,Acanthurus,Acanthurus_nigroris,HD,25,Day,Benthic,49,24.87779592,234.176551,125.4526225,IP,0.142279811,0.030695394,0.111584417
Acanthuridae,Acanthurus,Acanthurus_nigros,HD,NA,Day,Benthic,NA,NA,NA,NA,NA,0.143301335,0.031050624,0.112250711
Acanthuridae,Acanthurus,Acanthurus_nubilus,PK,26,Day,Pelagic,519,28.06516975,390.6529711,6.107822499,IP,0.143536773,0.030895539,0.112641234
Acanthuridae,Acanthurus,Acanthurus_olivaceus,HD,35,Day,Benthic,1265,27.66303267,426.6750548,4.194127791,IP,0.143867393,0.030778421,0.113088972
Acanthuridae,Acanthurus,Acanthurus_polyzona,HD,11,Day,Benthic,79,26.4359359,501.2668397,75.57272944,IP,0.137567408,0.029809668,0.10775774
Acanthuridae,Acanthurus,Acanthurus_pyroferus,HD,29,Day,Benthic,1237,27.89511393,421.736055,5.104019408,IP,0.143555346,0.030912819,0.112642527
Acanthuridae,Acanthurus,Acanthurus_reversus,HD,34,Day,Benthic,12,27.983075,357.8275333,97.98608116,IP,0.143364403,0.031303364,0.11206104
Acanthuridae,Acanthurus,Acanthurus_sohal,HD,40,Day,Benthic,119,27.26129304,1192.399857,74.35458988,IP,0.143659625,0.031092433,0.112567192
Acanthuridae,Acanthurus,Acanthurus_tennentii,HD,31,Day,Benthic,451,27.68948196,733.3600728,64.05617676,IP,0.143952695,0.030860807,0.113091888
Acanthuridae,Acanthurus,Acanthurus_thompsoni,PK,27,Day,Benthopelagic,1625,27.76519065,461.4081088,11.462425,IP,0.142613717,0.031667357,0.11094636
Acanthuridae,Acanthurus,Acanthurus_tractus,HD,38.1,Day,Benthic,NA,NA,NA,NA,NA,0.143339006,0.031219057,0.112119949
Acanthuridae,Acanthurus,Acanthurus_triostegus,HD,27,Day,Benthic,1923,27.47502055,500.66556,12.74832198,IP,0.137541044,0.029921039,0.107620005
Acanthuridae,Acanthurus,Acanthurus_tristis,HD,25,Day,Benthic,174,28.70094195,748.5792644,25.59557549,IP,0.143585048,0.031037812,0.112547236
Acanthuridae,Acanthurus,Acanthurus_xanthopterus,HD,70,Day,Benthic,1669,27.78551326,490.1469876,12.74832198,IP,0.143816833,0.030987135,0.112829698
Acanthuridae,Ctenochaetus,Ctenochaetus_binotatus,HD,22,Day,Benthic,1500,27.79642906,464.6267891,5.318838079,IP,0.144082582,0.030741024,0.113341558
Acanthuridae,Ctenochaetus,Ctenochaetus_cyanocheilus,HD,16,Day,Benthic,948,28.32190383,454.8633782,9.327972124,IP,0.143721149,0.031112732,0.112608417
Acanthuridae,Ctenochaetus,Ctenochaetus_flavicauda,HD,16,Day,Benthic,220,27.22274409,235.4157591,110.2539016,IP,0.14431791,0.03079326,0.11352465
Acanthuridae,Ctenochaetus,Ctenochaetus_hawaiiensis,HD,25,Day,Benthic,535,27.66954224,244.9664189,96.8196327,IP,0.143613178,0.030867774,0.112745404
Acanthuridae,Ctenochaetus,Ctenochaetus_marginatus,HD,27,Day,Benthic,218,27.9289945,399.4527124,48.77811742,IP,0.143782935,0.030932197,0.112850737
Acanthuridae,Ctenochaetus,Ctenochaetus_striatus,HD,26,Day,Benthic,1712,27.81216578,504.3178943,9.970369015,IP,0.14370975,0.031028603,0.112681147
Acanthuridae,Ctenochaetus,Ctenochaetus_strigosus,HD,15,Day,Benthic,49,24.87779592,234.176551,125.4526225,IP,0.144322,0.030909784,0.113412216
Acanthuridae,Ctenochaetus,Ctenochaetus_tominiensis,HD,16,Day,Benthic,513,28.56054776,450.2720386,12.95005957,IP,0.143668184,0.030928874,0.11273931
Acanthuridae,Ctenochaetus,Ctenochaetus_truncatus,HD,16,Day,Benthic,379,27.57339761,691.5934968,64.05617676,IP,0.14431791,0.03079326,0.11352465
Acanthuridae,Naso,Naso_annulatus,PK,100,Day,Pelagic,1458,27.64674457,493.3580374,3.76159689,IP,0.098956014,0.021430959,0.077525055
Acanthuridae,Naso,Naso_brachycentron,HD,90,Day,Benthic,1036,27.87888501,486.8090081,5.53305282,IP,0.098825698,0.021776673,0.077049025
Acanthuridae,Naso,Naso_brevirostris,PK,60,Day,Benthopelagic,1845,27.6375224,510.3122557,11.462425,IP,0.09588272,0.020598783,0.075283937
Acanthuridae,Naso,Naso_caeruleacauda,PK,40,Day,Pelagic,406,28.66798596,602.9598525,4.194127791,IP,0.078650315,0.012660562,0.065989753
Acanthuridae,Naso,Naso_caesius,PK,45.6,Day,Pelagic,585,27.38217128,250.0248097,17.50891751,IP,0.095871405,0.020807235,0.07506417
Acanthuridae,Naso,Naso_elegans,HD,45,Day,Benthic,477,27.68123631,719.1759123,65.54305885,IP,0.09439459,0.020029075,0.074365515
Acanthuridae,Naso,Naso_fageni,PK,80,Day,Pelagic,236,27.60243915,752.8080996,49.98058777,IP,0.098828847,0.021659671,0.077169175
Acanthuridae,Naso,Naso_hexacanthus,PK,75,Day,Pelagic,1665,27.7139897,465.5892124,11.462425,IP,0.095922225,0.020750366,0.075171858
Acanthuridae,Naso,Naso_lituratus,HD,46,Day,Benthic,1330,27.81339658,417.9774153,3.301497502,IP,0.094403072,0.020021992,0.07438108
Acanthuridae,Naso,Naso_lopezi,PK,60,Day,Pelagic,881,28.14213723,468.5229595,12.39207875,IP,0.098821943,0.021722144,0.077099799
Acanthuridae,Naso,Naso_maculatus,PK,60,Day,Benthopelagic,150,24.80571533,343.944728,24.2678649,IP,0.090233185,0.01852805,0.071705135
Acanthuridae,Naso,Naso_mcdadei,PK,75,Day,Benthopelagic,443,28.11870384,631.1139036,4.183669277,IP,0.098801642,0.021776673,0.07702497
Acanthuridae,Naso,Naso_minor,PK,30,Day,Pelagic,409,28.4803625,503.5360904,6.743404839,IP,0.08079914,0.013880222,0.066918917
Acanthuridae,Naso,Naso_reticulatus,PK,49,Day,Pelagic,19,27.59524737,548.6133789,10.13203893,IP,0.090280091,0.018637883,0.071642208
Acanthuridae,Naso,Naso_tergus,PK,34.7,Day,Benthic,NA,NA,NA,NA,NA,0.093630115,0.019039032,0.074591083
Acanthuridae,Naso,Naso_thynnoides,PK,40,Day,Pelagic,991,28.06487391,525.213513,2.517792047,IP,0.0785959,0.013322474,0.065273425
Acanthuridae,Naso,Naso_tonganus,HD,60,Day,Benthic,1158,27.91587941,461.3511171,6.107822499,IP,0.098821943,0.021776673,0.07704527
Acanthuridae,Naso,Naso_tuberosus,HD,60,Day,Pelagic,207,26.72250829,588.9115698,74.30687884,IP,0.098831152,0.021776673,0.077054479
Acanthuridae,Naso,Naso_unicornis,HD,70,Day,Benthic,1834,27.51156872,501.8407544,11.462425,IP,0.093829722,0.019817842,0.07401188
Acanthuridae,Naso,Naso_vlamingii,PK,60,Day,Benthopelagic,1493,27.94010904,461.3437155,5.318838079,IP,0.095665022,0.020785904,0.074879118
Acanthuridae,Paracanthurus,Paracanthurus_hepatus,OM,31,Day,Benthic,1372,27.92821946,490.8124413,3.007121951,IP,0.080173937,0.012392851,0.067781087
Acanthuridae,Prionurus,Prionurus_biafraensis,HD,20,Day,Benthopelagic,21,26.70638095,1418.301195,113.6695185,Atl,0.080409274,0.011917547,0.068491728
Acanthuridae,Prionurus,Prionurus_chrysurus,HD,30,Day,Benthic,11,28.36188182,696.3751182,9.501827332,IP,0.079969122,0.011784215,0.068184907
Acanthuridae,Prionurus,Prionurus_laticlavius,HD,60,Day,Benthic,89,26.30673596,695.9307135,47.6647861,IP,0.080946963,0.012220191,0.068726772
Acanthuridae,Prionurus,Prionurus_maculatus,HD,45,Day,Benthic,66,22.32251515,407.2097076,48.27026817,IP,0.078898427,0.011400685,0.067497742
Acanthuridae,Prionurus,Prionurus_microlepidotus,HD,70,Day,Benthic,41,23.39826098,489.0682293,40.53770364,IP,0.078416495,0.011898492,0.066518003
Acanthuridae,Prionurus,Prionurus_punctatus,HD,60,Day,Benthic,55,26.66510182,817.2280055,66.76226508,IP,0.080937572,0.012220191,0.068717382
Acanthuridae,Prionurus,Prionurus_scalprum,HD,50,Day,Benthic,121,22.88652562,684.3261388,29.71727503,IP,0.07877616,0.011577678,0.067198482
Acanthuridae,Zebrasoma,Zebrasoma_desjardinii,HD,40,Day,Benthic,480,27.68970633,739.3455599,65.47640735,IP,0.080042853,0.011743287,0.068299566
Acanthuridae,Zebrasoma,Zebrasoma_flavescens,HD,20,Day,Benthic,264,27.04335189,255.3677542,26.16920225,IP,0.080223085,0.011716367,0.068506718
Acanthuridae,Zebrasoma,Zebrasoma_gemmatum,HD,22,Day,Benthic,93,26.04082717,544.2893261,75.88837998,IP,0.080386875,0.012098332,0.068288543
Acanthuridae,Zebrasoma,Zebrasoma_rostratum,HD,21,Day,Benthic,274,27.48809562,235.8360964,111.639045,IP,0.080384274,0.011742983,0.068641291
Acanthuridae,Zebrasoma,Zebrasoma_scopas,HD,40,Day,Benthic,1719,27.7861379,512.3697176,8.984617673,IP,0.080421979,0.011979327,0.068442652
Acanthuridae,Zebrasoma,Zebrasoma_velifer,HD,40,Day,Benthic,1393,27.70291385,451.1331856,4.400021812,IP,0.080007212,0.011864681,0.068142532
Acanthuridae,Zebrasoma,Zebrasoma_xanthurum,HD,36.7,Day,Benthic,158,27.5214526,1132.951527,70.7172861,IP,0.080810179,0.011922351,0.068887828
Albulidae,Albula,Albula_argentea,MI,70,Both,Benthic,970,27.16973337,579.9081696,5.362608524,IP,0.063303791,0.007741103,0.055562688
Albulidae,Albula,Albula_esuncula,MI,32,Both,Benthic,149,24.13539247,1027.924175,50.471517,IP,0.063117531,0.007706551,0.05541098
Albulidae,Albula,Albula_glossodonta,MI,90,Both,Benthic,704,28.09847229,515.9292953,9.224103177,IP,0.063438385,0.008708829,0.054729556
Albulidae,Albula,Albula_goreensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063506191,0.007689354,0.055816837
Albulidae,Albula,Albula_oligolepis,MI,35.4,Both,Benthic,311,27.46165065,996.8199282,63.15890215,IP,0.06305121,0.007490904,0.055560307
Albulidae,Albula,Albula_virgata,MI,32.2,Both,Benthic,19,25.33650526,231.0203579,117.3465909,IP,0.063762046,0.007886097,0.05587595
Albulidae,Albula,Albula_vulpes,MI,104,Day,Benthopelagic,225,27.45264115,538.3520464,199.9168303,Both,0.063265872,0.007948203,0.055317669
Antennariidae,Antennarius,Antennarius_biocellatus,GC,14,Night,Benthic,262,28.74370153,554.9837004,9.327972124,IP,0.065429722,0.001741359,0.063688363
Antennariidae,Antennarius,Antennarius_commerson,GC,45,Night,Benthic,1045,27.72374697,607.0618302,4.453058761,IP,0.065496211,0.001649281,0.06384693
Antennariidae,Antennarius,Antennarius_hispidus,GC,20,Night,Benthic,886,27.86968453,738.3985993,5.698577502,IP,0.065609674,0.00137241,0.064237263
Antennariidae,Antennarius,Antennarius_indicus,GC,23,Night,Benthic,248,27.80287787,1047.963933,49.92807192,IP,0.065567103,0.00162381,0.063943293
Antennariidae,Antennarius,Antennarius_maculatus,GC,15,Night,Benthic,935,27.96544595,610.8140302,2.517792047,IP,0.065565481,0.001324893,0.064240588
Antennariidae,Antennarius,Antennarius_multiocellatus,GC,20,Night,Benthic,75,27.72346133,590.206464,196.6203163,Atl,0.065514154,0.001484819,0.064029335
Antennariidae,Antennarius,Antennarius_pardalis,GC,10.2,Night,Benthic,50,27.3197898,1234.2071,125.4367371,Atl,0.065633745,0.001544138,0.064089607
Antennariidae,Antennarius,Antennarius_pauciradiatus,GC,6.3,Night,Benthic,203,27.05657685,540.7397828,200.0270056,Atl,0.067496427,0.003120783,0.064375644
Antennariidae,Antennarius,Antennarius_pictus,GC,30,Night,Benthic,897,27.88683964,597.113555,4.400021812,IP,0.065585998,0.001439453,0.064146545
Antennariidae,Antennarius,Antennarius_randalli,GC,8,Night,Benthic,572,27.81406614,477.2827202,12.6191813,IP,0.065717308,0.001538451,0.064178856
Antennariidae,Antennarius,Antennarius_striatus,GC,25,Night,Benthic,1526,26.6352795,753.3152597,15.81822457,Both,0.065572506,0.00134088,0.064231627
Antennariidae,Antennarius,Antennatus_coccineus,GC,13,Night,Benthic,1034,27.6216232,586.5552552,5.362608524,IP,0.065520014,0.001911772,0.063608242
Antennariidae,Antennatus,Antennatus_analis,GC,7.8,Night,Benthic,265,28.54310151,359.8184574,24.87574516,IP,0.065569314,0.001452726,0.064116588
Antennariidae,Antennatus,Antennatus_bermudensis,GC,7.6,Night,Benthic,129,27.1342,565.9474349,199.8148529,Atl,0.067496427,0.003120783,0.064375644
Antennariidae,Antennatus,Antennatus_dorehensis,GC,14,Night,Benthic,694,28.18780796,565.894598,5.104019408,IP,0.065743218,0.001490377,0.064252842
Antennariidae,Antennatus,Antennatus_duescus,GC,3,Night,Benthic,459,27.70006179,511.6072063,14.13402246,IP,0.065823686,0.001563347,0.064260339
Antennariidae,Antennatus,Antennatus_linearis,GC,7.5,Night,Benthic,488,27.1177905,566.527964,9.170391067,IP,0.06627085,0.001603506,0.064667344
Antennariidae,Antennatus,Antennatus_nummifer,GC,13,Night,Benthic,1214,27.45963367,653.8744069,3.76159689,Both,0.065607566,0.001766011,0.063841555
Antennariidae,Antennatus,Antennatus_rosaceus,GC,5.8,Night,Benthic,563,27.92016655,468.3404673,14.81503894,IP,0.065604592,0.002010859,0.063593733
Antennariidae,Antennatus,Antennatus_sanguineus,GC,8.2,Night,Benthic,66,26.70354462,814.2686077,51.52787881,IP,0.06562096,0.001878212,0.063742748
Antennariidae,Antennatus,Antennatus_strigatus,GC,8,Both,Benthic,62,27.01687377,800.0908098,51.52787881,IP,0.06658351,0.002037064,0.064546446
Antennariidae,Antennatus,Antennatus_tuberosus,GC,9,Night,Benthic,746,27.8181664,535.5821305,8.933156276,IP,0.065645313,0.002449917,0.063195396
Antennariidae,Echinophryne,Echinophryne_crassispina,GC,7,Night,Benthic,13,15.43633846,614.2036231,45.12978059,IP,0.065799766,0.001678568,0.064121197
Antennariidae,Echinophryne,Echinophryne_mitchellii,GC,11.1,Night,Benthic,NA,NA,NA,NA,NA,0.065500303,0.001528489,0.063971814
Antennariidae,Echinophryne,Echinophryne_reynoldsi,GC,8,Night,Benthic,19,16.49526667,531.9517333,39.60203024,IP,0.065735701,0.001610609,0.064125092
