taxon,birth,death,ccp,source
Aulopomorphacea,0.09881992999074285,0.038904468899166204,0.999546050640573,computed
Aulopa,0.026315201365951436,0.0,0.945,computed
Aulopiformes,0.026315201365951436,0.0,0.945,computed
Synodontidae,0.026315201365951436,0.0,0.945,computed
Harpadontinae,0.026315201365951436,0.0,0.75,from Synodontidae (crown capture probability)
Saurida,0.026315201365951436,0.0,0.75,from Harpadontinae (crown capture probability)
Synodontinae,0.02874121737532584,0.0,0.9314516129032258,computed
Synodus,0.027787031308754796,0.0,0.9353448275862069,computed
Trachinocephalus,0.02874121737532584,0.0,0.0,from Synodontinae (unsampled)
Elopimorphaceae,0.09881992999074285,0.038904468899166204,0.0,from Aulopomorphacea (not monophyletic)
Albularia,0.02698678371551173,0.0,0.8,computed
Albuliformes,0.02698678371551173,0.0,0.8,computed
Albulidae,0.02698678371551173,0.0,0.8,computed
Albulinae,0.02698678371551173,0.0,0.8,computed
Albula,0.02698678371551173,0.0,0.8,computed
Elopimorpharia,1e-06,0.0,1.0,computed
Elopiformes,1e-06,0.0,1.0,computed
Megalopidae,1e-06,0.0,1.0,computed
Megalopsinae,1e-06,0.0,1.0,computed
Megalops,1e-06,0.0,1.0,computed
Elopomorpharia,0.058369065566781494,0.0,0.9803713527851459,computed
Anguilliformes,0.058369065566781494,0.0,0.9803713527851459,computed
Moringuidae,0.058369065566781494,0.0,0.4285714285714286,from Anguilliformes (crown capture probability)
Moringuainae,0.058369065566781494,0.0,0.4285714285714286,from Moringuidae (crown capture probability)
Moringua,0.058369065566781494,0.0,0.4285714285714286,from Moringuainae (crown capture probability)
Muraenidae,0.06218284131080373,0.0,0.9799196787148594,computed
Anarchiainae,0.06218284131080373,0.0,0.5833333333333333,from Muraenidae (crown capture probability)
Anarchias,0.06218284131080373,0.0,0.5833333333333333,from Anarchiainae (crown capture probability)
Muraeninae,0.06572766839943486,0.0,0.9790076335877863,computed
Echidna,0.06572766839943486,0.0,0.4285714285714286,from Muraeninae (crown capture probability)
Enchelycore,0.06572766839943486,0.0,0.40740740740740744,from Muraeninae (crown capture probability)
Enchelynassa,0.06572766839943486,0.0,0,from Muraeninae (singleton)
Gymnomuraena,0.06572766839943486,0.0,0,from Muraeninae (singleton)
Gymnothorax,0.06572766839943486,0.0,0.0,from Muraeninae (not monophyletic)
Monopenchelys,0.06572766839943486,0.0,0.0,from Muraeninae (unsampled)
Muraena,0.04800149243618167,0.0,0.8928571428571429,computed
Pseudechidna,1e-06,0.0,1.0,computed
Rhinomuraena,0.06572766839943486,0.0,0,from Muraeninae (singleton)
Strophidon,0.06572766839943486,0.0,0,from Muraeninae (singleton)
Uropterygiinae,0.06218284131080373,0.0,0.6571428571428571,from Muraenidae (crown capture probability)
Channomuraena,0.06218284131080373,0.0,0.0,from Uropterygiinae (unsampled)
Parascutiaria,0.06218284131080373,0.0,0,from Uropterygiinae (singleton)
Parauropterygius,0.06218284131080373,0.0,0,from Uropterygiinae (singleton)
Scuticaria,1e-06,0.0,1.0,computed
Uropterygius,0.06218284131080373,0.0,0.0,from Uropterygiinae (unsampled)
Euacanthomorphacea,0.09951543329958297,0.036486799566178854,0.9995303931954292,computed
Carangaria,0.05798048707918282,0.0,0.9981916817359855,computed
Carangiformes,0.06839684714549134,0.0,0.9981010029078393,computed
Carangidae,0.06839684714549134,0.0,0.9981010029078393,computed
Caranginae,0.08560497541173662,0.0,0.9972465581977472,computed
Alectis,0.017999541455693133,0.0,1.0,computed
Alepes,1e-06,0.0,1.0,computed
Atule,0.08560497541173662,0.0,0,from Caranginae (singleton)
Carangoides,0.09230730774714575,0.0,0.9230769230769231,computed
Caranx,0.10198457558261972,0.0,0.99,computed
Chloroscombrus,1e-06,0.0,1.0,computed
Decapterus,0.06493699248365815,0.0,1.0,computed
Hemicaranx,1e-06,0.0,1.0,computed
Megalaspis,0.08560497541173662,0.0,0,from Caranginae (singleton)
Pantolabus,0.08560497541173662,0.0,0.0,from Caranginae (unsampled)
Paracarangoides,1e-06,0.0,1.0,computed
Parastromateus,0.08560497541173662,0.0,0,from Caranginae (singleton)
Parauraspis,0.08560497541173662,0.0,0,from Caranginae (singleton)
Pseudocaranx,0.036372966861775546,0.0,0.8333333333333334,computed
Selar,0.039402160163196503,0.0,1.0,computed
Selaroides,0.08560497541173662,0.0,0,from Caranginae (singleton)
Selene,0.06175920380040616,0.0,1.0,computed
Trachurus,0.25502590188446267,0.0,0.9871794871794872,computed
Ulua,0.08560497541173662,0.0,0.0,from Caranginae (unsampled)
Uraspis,0.12325321303388849,0.12313820511433632,1.0,computed
Echeneinae,0.03166797238321291,0.03165317369506777,1.0,computed
Echeneis,1e-06,0.0,1.0,computed
Remora,0.03166797238321291,0.03165317369506777,0,from Echeneinae (singleton)
Lichiainae,1e-06,0.0,1.0,computed
Lichia,1e-06,0.0,0,from Lichiainae (singleton)
Parona,1e-06,0.0,0,from Lichiainae (singleton)
Naucratinae,0.07342713385788951,0.052567489417266446,0.9848484848484849,computed
Elagatis,0.07342713385788951,0.052567489417266446,0,from Naucratinae (singleton)
Seriola,0.08488744907990782,0.0,0.9777777777777777,computed
Seriolina,0.07342713385788951,0.052567489417266446,0,from Naucratinae (singleton)
Rachycentrinae,0.06839684714549134,0.0,0,from Carangidae (singleton)
Rachycentron,0.06839684714549134,0.0,0,from Rachycentrinae (singleton)
Scomberoidinae,0.07615498277966236,0.07609360144329361,1.0,computed
Oligoplites,0.029955235915116372,0.0,1.0,computed
Scomberoides,0.09581012088881834,0.09570806059646228,1.0,computed
Trachinotinae,0.06721493094139838,0.0,0.9686274509803922,computed
Trachinotus,0.06721493094139838,0.0,0.9686274509803922,computed
Incertae sedis in Carangaria,0.027965928161758583,0.0,0.9777777777777777,computed
Sphyraenidae,0.027965928161758583,0.0,0.9777777777777777,computed
Sphyraeninae,0.027965928161758583,0.0,0.9777777777777777,computed
Sphyraena,0.027965928161758583,0.0,0.9777777777777777,computed
Eupercaria,0.09540614342075966,0.03360661739645251,0.9993372898120673,computed
Acanthuriformes,0.14098657963916575,0.11117014596416208,0.9955265610438024,computed
Acanthuridae,0.11806637072817482,0.036396594036362036,0.9936974789915967,computed
Acanthurinae,0.13854520072340998,0.0,0.9829931972789115,computed
Acanthurus,0.13854520072340998,0.0,0.0,from Acanthurinae (not monophyletic)
Ctenochaetus,0.14718546009304345,0.0,0.9818181818181818,computed
Nasinae,0.1437644876468544,0.09185185347694494,0.9947368421052631,computed
Naso,0.1437644876468544,0.09185185347694494,0.9947368421052631,computed
Prionurinae,0.1092638916587736,0.10924656746255337,0.9523809523809523,computed
Prionurus,0.1092638916587736,0.10924656746255337,0.9523809523809523,computed
Zebrasominae,0.06540383814617311,0.0,0.9642857142857143,computed
Paracanthurus,0.06540383814617311,0.0,0,from Zebrasominae (singleton)
Zebrasoma,0.07254818980428727,0.0,0.9523809523809523,computed
Ephippidae,0.03939094301480356,0.02760236213497553,0.9074074074074074,computed
Chaetodipterinae,0.03939094301480356,0.02760236213497553,0.0,from Ephippidae (crown capture probability)
Chaetodipterus,0.03939094301480356,0.02760236213497553,0.0,from Chaetodipterinae (crown capture probability)
Parapsettinae,0.03939094301480356,0.02760236213497553,0.0,from Ephippidae (unsampled)
Parapsettus,0.03939094301480356,0.02760236213497553,0.0,from Parapsettinae (unsampled)
Plataxinae,0.0363032559193912,0.03623347718439407,1.0,computed
Ephippus,0.0363032559193912,0.03623347718439407,0,from Plataxinae (singleton)
Paraplatax,1e-06,0.0,1.0,computed
Platax,0.05391802159226494,0.0,1.0,computed
Tripterodon,0.0363032559193912,0.03623347718439407,0,from Plataxinae (singleton)
Proteracanthuinae,0.03939094301480356,0.02760236213497553,0.0,from Ephippidae (unsampled)
Proteracanthus,0.03939094301480356,0.02760236213497553,0.0,from Proteracanthuinae (unsampled)
Zabidiuinae,0.03939094301480356,0.02760236213497553,0.0,from Ephippidae (unsampled)
Zabidius,0.03939094301480356,0.02760236213497553,0.0,from Zabidiuinae (unsampled)
Priacanthidae,0.04942322846062793,0.004235376905484566,0.9144385026737968,computed
Cookeolusinae,0.04942322846062793,0.004235376905484566,0,from Priacanthidae (singleton)
Cookeolus,0.04942322846062793,0.004235376905484566,0,from Cookeolusinae (singleton)
Heteropriacanthusinae,0.04942322846062793,0.004235376905484566,0,from Priacanthidae (singleton)
Heteropriacanthus,0.04942322846062793,0.004235376905484566,0,from Heteropriacanthusinae (singleton)
Priacanthusinae,0.07305098355230828,0.0,0.8,computed
Priacanthus,0.07305098355230828,0.0,0.8,computed
Pristigenysinae,0.04942322846062793,0.004235376905484566,0.75,from Priacanthidae (crown capture probability)
Pristigenys,0.04942322846062793,0.004235376905484566,0.75,from Pristigenysinae (crown capture probability)
Siganidae,0.1517741090242063,0.0,0.9857142857142858,computed
Siganusinae,0.1517741090242063,0.0,0.9857142857142858,computed
Siganus,0.1517741090242063,0.0,0.9857142857142858,computed
Zanclidae,0.14098657963916575,0.11117014596416208,0,from Acanthuriformes (singleton)
Zanclusinae,0.14098657963916575,0.11117014596416208,0,from Zanclidae (singleton)
Zanclus,0.14098657963916575,0.11117014596416208,0,from Zanclusinae (singleton)
Centrarchiformes,0.10964330108352366,0.079042148177713,0.9846650524616626,computed
Cheilodactylidae,0.11957253775818262,0.08917849927293199,0.9717868338557993,computed
Aplodactylinae,0.015347439652444476,0.0,1.0,computed
Aplodactylus,0.015347439652444476,0.0,1.0,computed
Cheilodactylinae,0.11957253775818262,0.08917849927293199,0.6,from Cheilodactylidae (crown capture probability)
Cheilodactylus,0.11957253775818262,0.08917849927293199,0.0,from Cheilodactylinae (unsampled)
Chirodactylus,0.059395987749644975,0.0,1.0,computed
Dactylophorinae,0.11957253775818262,0.08917849927293199,0.0,from Cheilodactylidae (unsampled)
Dactylophora,0.11957253775818262,0.08917849927293199,0.0,from Dactylophorinae (unsampled)
Fasciatinae,1e-06,0.0,1.0,computed
Paracheilodactylus,1e-06,0.0,1.0,computed
Goniistiinae,0.09630688771071112,0.0,1.0,computed
Goniistius,0.09630688771071112,0.0,1.0,computed
Nemadactylinae,0.10686501879108128,0.10671094412649383,1.0,computed
Nemadactylus,0.10686501879108128,0.10671094412649383,1.0,computed
Cirrhitidae,0.041392624181653986,0.0,0.9007444168734491,computed
Cirrhitinae,0.041392624181653986,0.0,0.7692307692307692,from Cirrhitidae (crown capture probability)
Cirrhitichthys,0.041392624181653986,0.0,0.4285714285714286,from Cirrhitinae (crown capture probability)
Cristacirrhitus,0.041392624181653986,0.0,0.0,from Cirrhitinae (unsampled)
Cyprinocirrhites,0.041392624181653986,0.0,0.0,from Cirrhitinae (unsampled)
Isocirrhitus,0.041392624181653986,0.0,0.0,from Cirrhitinae (unsampled)
Itycirrhitus,0.041392624181653986,0.0,0,from Cirrhitinae (singleton)
Neocirrhites,0.041392624181653986,0.0,0,from Cirrhitinae (singleton)
Notocirrhitus,0.041392624181653986,0.0,0,from Cirrhitinae (singleton)
Cirrhitopinae,0.041392624181653986,0.0,0.0,from Cirrhitidae (unsampled)
Cirrhitops,0.041392624181653986,0.0,0.0,from Cirrhitopinae (unsampled)
Oxycirrhitinae,0.041392624181653986,0.0,0.0,from Cirrhitidae (unsampled)
Oxycirrhites,0.041392624181653986,0.0,0.0,from Oxycirrhitinae (unsampled)
Paracirrhitinae,0.0335537445216221,0.0,0.8653846153846154,computed
Amblycirrhitus,0.0335537445216221,0.0,0.0,from Paracirrhitinae (crown capture probability)
Cirrhitus,0.0335537445216221,0.0,0.0,from Paracirrhitinae (crown capture probability)
Paracirrhites,0.0335537445216221,0.0,0.7,from Paracirrhitinae (crown capture probability)
Paracirrhitus,0.0335537445216221,0.0,0,from Paracirrhitinae (singleton)
Paramblycirrhitus,0.0335537445216221,0.0,0,from Paracirrhitinae (singleton)
Creediidae,0.10964330108352366,0.079042148177713,0.0,from Centrarchiformes (crown capture probability)
Creediinae,0.10964330108352366,0.079042148177713,0.0,from Creediidae (crown capture probability)
Chalixodytes,0.10964330108352366,0.079042148177713,0.0,from Creediinae (unsampled)
Creedia,0.10964330108352366,0.079042148177713,0.0,from Creediinae (unsampled)
Crystallodytes,0.10964330108352366,0.079042148177713,0.0,from Creediinae (unsampled)
Limnichthys,0.10964330108352366,0.079042148177713,0.0,from Creediinae (crown capture probability)
Kyphosidae,0.19025134162456914,0.14868788697220733,0.9627906976744186,computed
Girellinae,0.1799376944325534,0.0,0.8571428571428572,computed
Girella,0.1799376944325534,0.0,0.8571428571428572,computed
Kyphosinae,0.5640821023943374,0.5640568150211478,0.9333333333333333,computed
Kyphosus,0.5640821023943374,0.5640568150211478,0.9333333333333333,computed
Microcanthinae,0.035094837973932015,0.035076701989910086,0.8333333333333334,computed
Atypichthys,1e-06,0.0,1.0,computed
Microcanthus,0.035094837973932015,0.035076701989910086,0,from Microcanthinae (singleton)
Neatypus,0.035094837973932015,0.035076701989910086,0.0,from Microcanthinae (unsampled)
Scorpidinae,0.06185325065401351,0.0,0.8,computed
Bathystethus,0.06185325065401351,0.0,0.0,from Scorpidinae (unsampled)
Labracoglossa,0.06185325065401351,0.0,0.0,from Scorpidinae (crown capture probability)
Medialuna,0.06185325065401351,0.0,0,from Scorpidinae (singleton)
Neoscorpis,0.06185325065401351,0.0,0.0,from Scorpidinae (unsampled)
Scorpis,0.06185325065401351,0.0,0.75,from Scorpidinae (crown capture probability)
Sectatorinae,0.19025134162456914,0.14868788697220733,0.0,from Kyphosidae (unsampled)
Sectator,0.19025134162456914,0.14868788697220733,0.0,from Sectatorinae (unsampled)
Pentacerotidae,0.032191765786499245,0.0,1.0,computed
Histiopterinae,0.027078297491028,0.0,1.0,computed
Evistias,0.027078297491028,0.0,0,from Histiopterinae (singleton)
Histiopterus,0.027078297491028,0.0,0,from Histiopterinae (singleton)
Pentaceropsis,0.027078297491028,0.0,0,from Histiopterinae (singleton)
Pentacerotinae,0.032191765786499245,0.0,0,from Pentacerotidae (singleton)
Pentaceros,0.032191765786499245,0.0,0,from Pentacerotinae (singleton)
Chaetodontiformes,0.1326855059974838,0.024069878899817133,0.9944488501189532,computed
Chaetodontidae,0.1326855059974838,0.024069878899817133,0.9944488501189532,computed
Amphichaetodontinae,1e-06,0.0,1.0,computed
Amphichaetodon,1e-06,0.0,1.0,computed
Chaetodontinae,0.1517613605661645,0.0,0.9940199335548173,computed
Chaetodon,0.1517613605661645,0.0,0.9940199335548173,computed
Chelmoninae,0.060046596487822,0.05989218987827821,1.0,computed
Chelmon,0.060046596487822,0.05989218987827821,1.0,computed
Chelmonopinae,1e-06,0.0,1.0,computed
Chelmonops,1e-06,0.0,1.0,computed
Coradioninae,0.09563487104930002,0.09557535436785726,1.0,computed
Coradion,0.09563487104930002,0.09557535436785726,1.0,computed
Forcipigerinae,0.1326855059974838,0.024069878899817133,0.6666666666666667,from Chaetodontidae (crown capture probability)
Forcipiger,0.1326855059974838,0.024069878899817133,0.6666666666666667,from Forcipigerinae (crown capture probability)
Hemitaurichthyinae,0.15911314745230787,0.159055139491611,0.8333333333333334,computed
Hemitaurichthys,0.15911314745230787,0.159055139491611,0.8333333333333334,computed
Heniochinae,0.0758272471948827,0.0,0.9722222222222222,computed
Heniochus,0.0758272471948827,0.0,0.9722222222222222,computed
Parachaetodontinae,0.1326855059974838,0.024069878899817133,0.0,from Chaetodontidae (unsampled)
Parachaetodon,0.1326855059974838,0.024069878899817133,0.0,from Parachaetodontinae (unsampled)
Prognathodinae,0.1326855059974838,0.024069878899817133,0.675,from Chaetodontidae (crown capture probability)
Prognathodes,0.1326855059974838,0.024069878899817133,0.7090909090909091,from Prognathodinae (crown capture probability)
Roa,0.1326855059974838,0.024069878899817133,0.0,from Prognathodinae (unsampled)
Incertae sedis in Eupercaria,0.08067757296619525,0.0,0.9962523235593932,computed
Haemulidae,0.06420448173071899,0.0,0.9924324324324324,computed
Haemulinae,0.060385270270429066,0.0,0.9887566137566137,computed
Anisotremus,0.06180594658616777,0.0,1.0,computed
Conodon,1e-06,0.0,1.0,computed
Emmelichthyops,0.060385270270429066,0.0,0,from Haemulinae (singleton)
Haemulon,0.07063313821470678,0.0,0.9917355371900827,computed
Microlepidotus,1e-06,0.0,1.0,computed
Orthopristis,0.060385270270429066,0.0,0.5,from Haemulinae (crown capture probability)
Parapomadasys,0.02174318522340942,0.021729714469165294,1.0,computed
Pomadas,0.060385270270429066,0.0,0,from Haemulinae (singleton)
Pomadasia,0.060385270270429066,0.0,0,from Haemulinae (singleton)
Pomadasys,0.05066944449665419,0.0,0.8163265306122449,computed
Xenichthys,0.060385270270429066,0.0,0.0,from Haemulinae (crown capture probability)
Xenocys,0.060385270270429066,0.0,0.0,from Haemulinae (unsampled)
Plectorhinchinae,0.07073416906460327,0.0,0.977366255144033,computed
Parapristipoma,0.01692284246478161,0.0,0.8333333333333334,computed
Plectorhinchus,0.08495062855528154,0.0,0.9739583333333334,computed
Lutjanidae,0.12733588009390684,0.053091180756116,0.9881091617933723,computed
Apsilinae,0.12733588009390684,0.053091180756116,0.5909090909090908,from Lutjanidae (crown capture probability)
Apsilus,0.12733588009390684,0.053091180756116,0.0,from Apsilinae (crown capture probability)
Lipocheilus,0.12733588009390684,0.053091180756116,0.0,from Apsilinae (unsampled)
Paracaesio,0.12733588009390684,0.053091180756116,0.4285714285714286,from Apsilinae (crown capture probability)
Parapristipomoides,0.12733588009390684,0.053091180756116,0.0,from Apsilinae (unsampled)
Caesioninae,0.14032143542575054,0.0,0.9388888888888889,computed
Caesia,0.14032143542575054,0.0,0,from Caesioninae (singleton)
Caesio,0.14032143542575054,0.0,0.7,from Caesioninae (crown capture probability)
Caesius,1e-06,0.0,1.0,computed
Dipterygonotus,0.14032143542575054,0.0,0,from Caesioninae (singleton)
Macolor,0.14032143542575054,0.0,0.0,from Caesioninae (crown capture probability)
Pterocaesio,0.326818239522449,0.0,0.8333333333333334,computed
Etelinae,0.06399856596039852,0.03267624362499907,0.9259259259259259,computed
Aprion,0.06399856596039852,0.03267624362499907,0,from Etelinae (singleton)
Etelis,0.06399856596039852,0.03267624362499907,0.5555555555555556,from Etelinae (crown capture probability)
Pristipomoides,0.06421780746802415,0.03245226843482168,0.9074074074074074,computed
Randallichthys,0.06399856596039852,0.03267624362499907,0.0,from Etelinae (unsampled)
Lutjaninae,0.13506244217090585,0.0,0.9813664596273292,computed
Hoplopagrus,0.13506244217090585,0.0,0.0,from Lutjaninae (unsampled)
Lutjanus,0.13247182863420348,0.0,0.982373678025852,computed
Pinjalo,0.13506244217090585,0.0,0.0,from Lutjaninae (unsampled)
Paradicichthyinae,1e-06,0.0,1.0,computed
Symphorichthys,1e-06,0.0,0,from Paradicichthyinae (singleton)
Symphorus,1e-06,0.0,0,from Paradicichthyinae (singleton)
Pomacanthidae,0.08840089329699372,0.0,0.9857142857142858,computed
Centropygeinae,0.09953463709503202,0.0,0.976460331299041,computed
Apolemichthys,0.09953463709503202,0.0,0.75,from Centropygeinae (crown capture probability)
Centropyge,0.17386931474071662,0.07872840553962886,0.8842105263157894,computed
