"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Abalistes stellatus";0,73446205380616;0,379997344753473;0,354829482249834;0,711382629060113;0;0,288531272972542
"Abudefduf abdominalis";0,539948331456881;0,363210164895204;0,449585677823901;0,676453101617979;0,19195872000656;0,441879561464813
"Abudefduf bengalensis";0,578863375733881;0,321611444677075;0,395330260111104;0,65079895618804;0,30424737289683;0,569309091336701
"Abudefduf concolor";0,373028626105332;0,215861659184109;0,191704476107254;0,630641868992438;0,19195872000656;0,173713135703695
"Abudefduf conformis";0,152386217284191;0,0929665563974237;0,306865953959834;0,572949837183986;0,19195872000656;0
"Abudefduf notatus";0,404303370866692;0,0929665563974237;0,261549467475951;0,672616657893201;0,19195872000656;0,311377538690216
"Abudefduf saxatilis";0,841067375505066;0,607923076404585;0,511304755322204;0,78103494522929;0,637673065048409;0,796902555077778
"Abudefduf septemfasciatus";0,500282873967989;0,215861659184109;0,446021573567292;0,678615277508191;0,19195872000656;0,412993208959563
"Abudefduf sexfasciatus";0,658562180455184;0,414578001074499;0,610594351834645;0,727879171280989;0,38391744001312;0,653470769523844
"Abudefduf sordidus";0,610354276485115;0,333281618505943;0,455331594430687;0,653026177478753;0,19195872000656;0,56245998013721
"Abudefduf sparoides";0,363217987586267;0,0929665563974237;0,358728203754861;0,570461863530752;0,19195872000656;0,288531272972542
"Abudefduf troschelii";0,589427088379117;0,408338625400148;0,33643342554856;0,71045443053038;0,19195872000656;0,495120629164088
"Abudefduf vaigiensis";0,67660836884129;0,51639099774399;0,63024700854519;0,738118498681093;0,445714345041849;0,672981437969566
"Abudefduf whitleyi";0,426646571022914;0,333281618505943;0,318865276718957;0,612223986054155;0,19195872000656;0,311377538690216
"Acanthistius cinctus";0,338737718036461;0;0,222976284803669;0,558439103719946;0;0,201674705120695
"Acanthochromis polyacanthus";0,674143994199703;0,678155771249651;0,974078544289139;0,739267642968612;0;0,462244408676237
"Acanthostracion polygonius";0,493929787818882;0,215861659184109;0,261549467475951;0,710796138492515;0;0,724756903701783
"Acanthostracion quadricornis";0,623063875440787;0,240315062108519;0,38658051356839;0,739198600184439;0,38391744001312;0,586706344663258
"Acanthurus achilles";0,629001978985554;0,147348505711095;0,398687986101904;0,856219677746276;0,445714345041849;0,611851895803213
"Acanthurus albipectoralis";0,409335436580033;0;0;0,723687815033805;0;0
"Acanthurus auranticavus";0,338737718036461;0,147348505711095;0,218944634983773;0,680434371905126;0;0,201674705120695
"Acanthurus bahianus";0,934482476583606;0,539889788881324;0,372526538061324;0,727071937207997;0,19195872000656;0,72281411223178
"Acanthurus bariene";0,282619842225168;0;0,26806819399245;0,69978998350319;0,19195872000656;0,330693781123762
"Acanthurus blochii";0,678888468555337;0,260990119689053;0,340539146947935;0,733893273069106;0,30424737289683;0,537626916789394
"Acanthurus chirurgus";0,855254091960995;0,436983694149254;0,345484764295198;0,743711616387664;0,30424737289683;0,670032889230977
"Acanthurus coeruleus";0,940871521640877;0,484304940115492;0,358790748574182;0,879349942123505;0,538896257442294;0,805287457569071
"Acanthurus dussumieri";0,652833930587714;0,240315062108519;0,342597842718413;0,785494642059901;0,445714345041849;0,627032200431443
"Acanthurus fowleri";0,195441098947606;0;0;0,69830323531608;0;0,275328805973042
"Acanthurus grammoptilus";0,526217746300533;0,0929665563974237;0,101962402242277;0,700226088951654;0;0,275328805973042
"Acanthurus guttatus";0,523917803401069;0,147348505711095;0,322663021154811;0,738574266251453;0,30424737289683;0,524995327951365
"Acanthurus leucocheilus";0,426646571022914;0;0,235460971785264;0,701156269508986;0;0,173713135703695
"Acanthurus leucopareius";0,652338657069302;0,0929665563974237;0,252379593289576;0,693445336953014;0,30424737289683;0,445511918392609
"Acanthurus leucosternon";0,491552331547493;0,344017137751831;0,491567419085553;0,876979831072801;0,60849474579366;0,72242191303928
"Acanthurus lineatus";0,736359339098049;0,394915192750721;0,472710756223359;0,830144257464501;0,767834880026241;0,707859063660657
"Acanthurus maculiceps";0,440900041383785;0;0,146645326082911;0,711663183731774;0;0,321407493460393
"Acanthurus mata";0,547993214093945;0,185933112794847;0,3420509904265;0,727615772641483;0,19195872000656;0,482452523484854
"Acanthurus nigricans";0,826625067064032;0,308828215581532;0,581624150230633;0,734884320558257;0,49620609290339;0,537626916789394
"Acanthurus nigricauda";0,619824354278463;0,215861659184109;0,371707877696913;0,724308841219937;0,19195872000656;0,438138760099518
"Acanthurus nigrofuscus";0,873861797542483;0,577271496512916;0,738456684477501;0,751399959865993;0,664068065463838;0,698232912648972
"Acanthurus nigroris";0,743500020036589;0,215861659184109;0,424245547408007;0,716426900521217;0,30424737289683;0,355022993612965
"Acanthurus nubilus";0,267969529659183;0;0,185517333303052;0,66738363881492;0;0,201674705120695
"Acanthurus olivaceus";0,765696703144256;0,215861659184109;0,356539630040899;0,794698841904896;0,38391744001312;0,648610588151616
"Acanthurus pyroferus";0,653607664653881;0,185933112794847;0,319249525496075;0,760250665941023;0,19195872000656;0,550657611946084
"Acanthurus reversus";0,206190210088278;0;0,380775619472503;0,672437402829892;0;0
"Acanthurus sohal";0,429094384398926;0,29469701142219;0,704987359562822;0,77247565141625;0,38391744001312;0,671810330943483
"Acanthurus tennentii";0,349359140267653;0;0,256711164092281;0,714301468483898;0,38391744001312;0,421947555926283
"Acanthurus thompsoni";0,638541014519865;0;0,312419520155653;0,723151279796448;0;0,260569703555542
"Acanthurus triostegus";0,781457914577781;0,565930457548321;0,563349383373843;0,82666898513245;0,749961717938679;0,791588364829694
"Acanthurus tristis";0,271223005161683;0;0,0797938397018873;0,698413435595276;0;0,243837213271914
"Acanthurus xanthopterus";0,664552656679793;0,394915192750721;0,397831120079626;0,745859647674841;0,30424737289683;0,607013165691794
"Aethaloperca rogaa";0,477867030324503;0,185933112794847;0,385328415570567;0,715896140105769;0,30424737289683;0,441879561464813
"Alphestes immaculatus";0,417924860240723;0,0929665563974237;0,200413085572808;0,677653677703097;0;0,260569703555542
"Aluterus scriptus";0,65529984598201;0,260990119689053;0,382258995138757;0,825146357263938;0;0,794052041931452
"Amanses scopas";0,478929263795758;0,215861659184109;0,367935347300331;0,652182867530473;0;0,311377538690216
"Amblycirrhitus pinos";0,487614576016431;0,0929665563974237;0,35632609658444;0,597755976275145;0;0,523082198581088
"Amblyglyphidodon aureus";0,511274037188056;0;0,302181068036489;0,713563418601979;0,19195872000656;0,606022587096803
"Amblyglyphidodon batunai";0,235465950031266;0,0929665563974237;0,173263310091783;0,551204559936553;0,19195872000656;0,173713135703695
"Amblyglyphidodon curacao";0,677698345843906;0,426248174903366;0,39536274757002;0,693254278819291;0,19195872000656;0,575803163086039
"Amblyglyphidodon indicus";0,392175653280062;0,147348505711095;0,296749298694396;0,709572857753028;0;0,479757633820149
