"","taxa","family","MaxLength","SurveyID","size_class","number"
"1","Labroides_dimidiatus","Labridae",14,"912342231",62.5,1
"2","Labroides_dimidiatus","Labridae",14,"912343420",40,3
"3","Labroides_dimidiatus","Labridae",14,"912343420",50,2
"4","Pomacentrus_bankanensis","Pomacentridae",9,"912345983",20,1
"5","Pomacentrus_bankanensis","Pomacentridae",9,"912343148",50,1
"6","Pomacentrus_bankanensis","Pomacentridae",9,"912343148",62.5,2
"7","Ctenochaetus_binotatus","Acanthuridae",22,"912344184",50,1
"8","Pseudocheilinus_evanidus","Labridae",8,"912341161",30,1
"9","Zanclus_cornutus","Zanclidae",23,"912340542",50,4
"10","Zanclus_cornutus","Zanclidae",23,"912344212",62.5,3
"11","Plectroglyphidodon_lacrymatus","Pomacentridae",10,"912343099",30,1
"12","Plectroglyphidodon_lacrymatus","Pomacentridae",10,"912343099",35,1
"13","Paracirrhites_arcatus","Cirrhitidae",20,"912343279",50,2
"14","Ctenochaetus_cyanocheilus","Acanthuridae",16,"6002227",35,2
"15","Pomacentrus_amboinensis","Pomacentridae",9,"912342031",25,2
"16","Thalassoma_amblycephalum","Labridae",16,"912343302",35,1
"17","Thalassoma_amblycephalum","Labridae",16,"912345476",35,1
"18","Thalassoma_amblycephalum","Labridae",16,"912340510",35,1
"19","Halichoeres_nebulosus","Labridae",12,"2001399",25,3
"20","Halichoeres_nebulosus","Labridae",12,"2001399",30,2
"21","Halichoeres_nebulosus","Labridae",12,"912345871",25,20
"22","Fistularia_commersonii","Fistulariidae",160,"507003175",300,1
"23","Neopomacentrus_azysron","Pomacentridae",7.5,"912351803",20,20
"24","Pomacentrus_adelus","Pomacentridae",8.5,"912345903",20,30
"25","Halichoeres_melanurus","Labridae",12,"912351765",30,1
"26","Halichoeres_melanurus","Labridae",12,"912351800",25,1
"27","Halichoeres_melanurus","Labridae",12,"912347509",25,1
"28","Pomacentrus_moluccensis","Pomacentridae",9,"6003301",20,1
"29","Pomacentrus_moluccensis","Pomacentridae",9,"912346760",20,2
"30","Amblyglyphidodon_leucogaster","Pomacentridae",13,"912350356",35,1
"31","Chaetodon_melannotus","Chaetodontidae",18,"912344534",40,4
"32","Chaetodon_melannotus","Chaetodontidae",18,"912344534",50,6
"33","Chaetodon_melannotus","Chaetodontidae",18,"912345876",40,2
"34","Chaetodon_melannotus","Chaetodontidae",18,"912345876",50,1
"35","Chaetodon_melannotus","Chaetodontidae",18,"912343192",40,1
"36","Plectorhinchus_chaetodonoides","Haemulidae",72,"912344184",200,2
"37","Plectorhinchus_chaetodonoides","Haemulidae",72,"912344216",125,1
"38","Myripristis_kuntee","Holocentridae",26,"912343244",62.5,1
"39","Chaetodon_ulietensis","Chaetodontidae",15,"912344535",35,3
"40","Chaetodon_ulietensis","Chaetodontidae",15,"912347548",62.5,1
"41","Lutjanus_bohar","Lutjanidae",90,"912343124",150,1
"42","Chrysiptera_talboti","Pomacentridae",6,"4000733",12.5,1
"43","Chaetodon_lunula","Chaetodontidae",20,"912342114",50,1
"44","Chaetodon_lunula","Chaetodontidae",20,"912342114",62.5,1
"45","Dischistodus_prosopotaenia","Pomacentridae",17,"912343830",50,1
"46","Chaetodon_unimaculatus","Chaetodontidae",20,"912347406",62.5,1
"47","Chaetodon_unimaculatus","Chaetodontidae",20,"912347406",75,1
"48","Chaetodon_unimaculatus","Chaetodontidae",20,"912347411",50,1
"49","Parupeneus_multifasciatus","Mullidae",35,"912343812",75,1
"50","Acanthochromis_polyacanthus","Pomacentridae",14,"912351763",30,3
"51","Amblyglyphidodon_curacao","Pomacentridae",11,"912344529",40,3
"52","Pomacentrus_lepidogenys","Pomacentridae",9,"912347134",20,1
"53","Pomacentrus_lepidogenys","Pomacentridae",9,"912342383",30,1
"54","Canthigaster_papua","Tetraodontidae",10,"689003057",25,1
"55","Centropyge_bicolor","Pomacanthidae",11,"912345503",35,2
"56","Centropyge_bicolor","Pomacanthidae",11,"912345504",35,2
"57","Centropyge_bicolor","Pomacanthidae",11,"912352102",35,1
"58","Pomacentrus_coelestis","Pomacentridae",9,"912345870",20,2
"59","Coris_batuensis","Labridae",17,"4000716",62.5,2
"60","Dascyllus_reticulatus","Pomacentridae",9,"912343260",20,2
"61","Dascyllus_reticulatus","Pomacentridae",9,"912343260",25,1
"62","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002026",25,1
"63","Pomacentrus_nagasakiensis","Pomacentridae",10,"6002115",25,1
