"SurveyID" "SiteLongitude" "SiteLatitude" "SiteCode" "coral_imputation" "algae_imputation" "CCA_imputation" "rubble_imputation" "micro_mats_imputation" "rock_imputation" "sand_imputation" "seagrass_imputation" "other_inverts_imputation"
"1" 1003278 -81.11185 24.62529 "USEC4" 0.23 0.19 0.09 0 0.02 0.14 0.03 0 0.3
"2" 1003280 -81.109328 24.625624 "USEC6" 0.208599365079368 0.321786955782314 0.0862791507936507 0 0.0189135 0.185873106782107 0.0747738928571428 0 0.1192513095238
"3" 1003281 -81.060967 24.69262 "USEC8" 0.1 0.68 0.01 0 0.02 0 0.17 0 0.02
"4" 1003282 -81.04805 24.70784 "USEC9" 0.17 0.55 0.01 0 0.02 0 0.23 0 0.02
"5" 1003283 -80.96287 24.68577 "USEC10" 0.3 0.37 0.07 0 0.03 0.02 0.01 0 0.2
"6" 1003284 -80.9645 24.68553 "USEC11" 0.29 0.38 0.04 0 0.02 0.06 0.1 0 0.11
"7" 1003285 -81.41568 24.54062 "USEC12" 0.2 0.39 0.03 0 0.08 0.03 0.14 0 0.13
"8" 1003286 -81.40591 24.54569 "USEC13" 0.22 0.54 0.02 0 0.05 0.08 0 0 0.09
"9" 1003287 -81.405235 24.546777 "USEC14" 0.24 0.45 0.02 0 0.01 0.03 0.09 0 0.16
"10" 1003288 -80.97067 24.68217 "USEC15" 0.222222222222222 0.464646464646465 0.0303030303030303 0 0 0.0404040404040404 0.0808080808080808 0 0.161616161616162
"11" 1003289 -81.02973 24.68975 "USEC16" 0.06 0.58 0.08 0 0.05 0.06 0 0 0.17
"12" 1003291 -81.09053 24.63217 "USEC17" 0.12 0.41 0.08 0 0.05 0.14 0.07 0 0.13
"13" 1003292 -81.110531 24.62198 "USEC7" 0.08 0.43 0.05 0 0.09 0 0.21 0 0.14
"14" 1003629 -82.87406 24.609 "CAR2" 0.25 0.41 0.13 0 0.01 0.03 0.11 0 0.06
"15" 1003630 -82.87406 24.609 "CAR2" 0.14 0.69 0.06 0 0 0 0.07 0 0.04
"16" 1003631 -82.86406 24.62056 "CAR1" 0.16 0.51 0.05 0 0 0.01 0.27 0 0
"17" 1003632 -82.86406 24.62056 "CAR1" 0.17 0.53 0.07 0 0 0.01 0.16 0 0.06
"18" 1003633 -82.94296 24.62429 "CAR3" 0.34 0.45 0.02 0 0.02 0.02 0.11 0 0.04
"19" 1003634 -82.94296 24.62429 "CAR3" 0.08 0.58 0 0 0.01 0.06 0.24 0 0.03
"20" 1003635 -82.94296 24.62429 "CAR3" 0.08 0.46 0.01 0 0.01 0.08 0.33 0 0.03
"21" 1003636 -82.94296 24.62429 "CAR3" 0.247619047625048 0.676190476196476 0 0 0 0 0.0476190476190476 0 0.0285714285594286
"22" 1003637 -81.38695 19.3066 "CAR4" 0.25 0.59 0.01 0 0.01 0.02 0.1 0 0.02
"23" 1003638 -81.38695 19.3066 "CAR4" 0.11 0.55 0.18 0 0.08 0.04 0.02 0 0.02
"24" 1003639 -81.38695 19.3066 "CAR4" 0.14 0.56 0.01 0 0.02 0.06 0.2 0 0.01
"25" 1003640 -81.36713 13.45645 "CAR6" 0.46 0.29 0.15 0 0.02 0.01 0.01 0 0.06
"26" 1003641 -81.36453 13.45828 "CAR5" 0.52 0.27 0.07 0 0 0 0.11 0 0.03
"27" 1003642 -81.36453 13.45828 "CAR5" 0.46 0.31 0.13 0 0.03 0.02 0.04 0 0.01
"28" 1003643 -81.36713 13.45645 "CAR6" 0.67 0.25 0.05 0 0.01 0.01 0 0 0.01
"29" 1003644 -81.36453 13.45828 "CAR5" 0.54 0.32 0.08 0 0.01 0.03 0.02 0 0
"30" 1003645 -81.36713 13.45645 "CAR6" 0.56 0.19 0.02 0 0.02 0.02 0.15 0 0.04
"31" 1003646 -81.41154 13.32793 "CAR8" 0.33 0.52 0.1 0 0.01 0 0.04 0 0
"32" 1003647 -81.41154 13.32793 "CAR8" 0.25 0.66 0.07 0 0 0 0.02 0 0
"33" 1003648 -81.40478 13.36448 "CAR7" 0.46 0.31 0.09 0 0.01 0.01 0.08 0 0.04
"34" 1003649 -81.41154 13.32793 "CAR8" 0.141414141414141 0.595959595959596 0.0808080808080808 0 0.0101010101010101 0.0606060606060606 0.0909090909090909 0 0.0202020202020202
"35" 1003650 -81.40478 13.36448 "CAR7" 0.73 0.09 0.06 0 0.03 0.02 0.03 0 0.04
"36" 1003651 -81.34405 13.37479 "CAR10" 0.05 0.5 0.18 0 0.1 0.01 0.04 0 0.12
"37" 1003652 -81.34405 13.37479 "CAR10" 0.05 0.74 0 0 0.01 0.01 0.17 0 0.02
"38" 1003653 -81.34405 13.37479 "CAR10" 0.05 0.72 0.1 0 0 0.01 0.11 0 0.01
"39" 1003654 -81.33894 13.3803 "CAR9" 0.02 0.57 0.05 0 0.02 0 0.33 0 0.01
"40" 1003655 -81.33894 13.3803 "CAR9" 0.01 0.63 0.06 0 0.11 0 0.12 0 0.07
"41" 1003656 -81.33894 13.3803 "CAR9" 0.02 0.54 0.12 0 0.04 0 0.23 0 0.05
"42" 1003657 -81.33894 13.3803 "CAR9" 0.06 0.55 0.05 0 0 0.01 0.33 0 0
"43" 1003659 -81.40394 13.37159 "CAR12" 0.454545454545455 0.393939393939394 0.0404040404040404 0 0.0101010101010101 0.0505050505050505 0.0202020202020202 0 0.0303030303030303
"44" 1003660 -81.40394 13.37159 "CAR12" 0.28 0.54 0.1 0 0.01 0 0.03 0 0.04
"45" 1003661 -81.42346 13.37903 "CAR11" 0.14 0.41 0.13 0 0.05 0.02 0.12 0 0.13
"46" 1003662 -81.37399 13.40015 "CAR14" 0.25 0.53 0.07 0 0.02 0.01 0.11 0 0.01
"47" 1003663 -81.37399 13.40015 "CAR14" 0.344132324314574 0.463130487012987 0.0703684397546898 0 0.0179502142857143 0.00924233333333334 0.0891735833333334 0 0.0163609682539683
"48" 1003664 -81.38481 13.3895 "CAR13" 0.12 0.69 0.07 0 0 0.01 0.05 0 0.06
"49" 1003665 -81.38481 13.3895 "CAR13" 0.139690293650794 0.640624915584415 0.0872262674362675 0 0.00447496368446368 0.00568384523809524 0.0892397734487735 0 0.0337303546176046
"50" 1003666 -81.39579 13.3987 "CAR15" 0.36 0.5 0.05 0 0.02 0.01 0.06 0 0
"51" 1003667 -81.38481 13.3895 "CAR13" 0.11 0.64 0.11 0 0 0 0.13 0 0.01
"52" 1003668 -81.39579 13.3987 "CAR15" 0.49 0.44 0.01 0 0.01 0 0.02 0 0.03
"53" 1003669 -81.39579 13.3987 "CAR15" 0.57 0.26 0.11 0 0.03 0 0.02 0 0.01
"54" 1003670 -81.71718 12.58681 "CAR17" 0.46 0.17 0.23 0 0.04 0 0.08 0 0.02
"55" 1003671 -81.71718 12.58681 "CAR17" 0.49 0.37 0.07 0 0.03 0.01 0.03 0 0
"56" 1003672 -81.73215 12.51884 "CAR16" 0.51 0.2 0.08 0 0.02 0.05 0.07 0 0.07
"57" 1003673 -81.73215 12.51884 "CAR16" 0.49 0.16 0.05 0 0.02 0 0.16 0 0.12
"58" 1003674 -81.73215 12.51884 "CAR16" 0.488524836357969 0.201683536374671 0.0574434908683219 0.00230456140361831 0.0136064477175941 0.0162605714285688 0.133206422375029 0.000886666666666665 0.0854361804029497
"59" 1003675 -81.71718 12.58681 "CAR17" 0.464030332389726 0.242800150315206 0.202013606405517 0.00242789473697795 0.0262491865079365 0.00375269387755046 0.0427783660347779 0 0.0242441627081891
"60" 1003676 -81.73215 12.51884 "CAR16" 0.52 0.21 0.03 0 0 0 0.16 0 0.08
"61" 1003677 -81.71718 12.58681 "CAR17" 0.47 0.15 0.32 0 0.01 0 0 0 0.05
"62" 1003678 -81.68365 12.58415 "CAR18" 0.0714285714328571 0.510204081620408 0.102040816304082 0 0 0.0102040816304082 0.306122449012245 0 0
"63" 1003679 -81.68365 12.58415 "CAR18" 0.04 0.37 0.2 0 0 0.01 0.35 0 0.03
"64" 1003680 -81.68365 12.58415 "CAR18" 0.06 0.37 0.11 0 0.04 0.13 0.27 0 0.02
"65" 1003681 -81.6887 12.58619 "CAR19" 0.124530386980087 0.546508505120797 0.0150626137021135 0.085034740606133 0.00273480158730159 0.00139454761902326 0.209656566975048 0.00223866666666667 0.00483872883747656
"66" 1003682 -81.68528 12.58338 "CAR20" 0.0477516054423623 0.560120826419186 0.0244071686092107 0.0312614795322223 0.00616761904761905 0.00647962001935148 0.288705965412591 0.0335605714285714 0.00207437301588802
"67" 1003683 -81.68528 12.58338 "CAR20" 0.04 0.71 0 0.03 0.01 0 0.19 0.02 0
"68" 1003684 -81.6887 12.58619 "CAR19" 0.100000000004 0.513333333310533 0 0.0800000000032 0 0 0.300000000012 0 0.00666666667026667
"69" 1003685 -81.6887 12.58619 "CAR19" 0.126315789471158 0.610526315747263 0 0.115789473691895 0 0 0.147368421089684 0 0
"70" 1003686 -81.68528 12.58338 "CAR20" 0.05 0.46 0.01 0.04 0 0 0.38 0.06 0
"71" 1003687 -78.95204 9.55787 "CAR23" 0.52 0.08 0.09 0 0.19 0 0.02 0.01 0.09
"72" 1003688 -78.95136 9.55877 "CAR22" 0.416666666649167 0.2500000000175 0 0.00833333332958333 0.00833333332958333 0 0.116666666694167 0 0.19999999998
"73" 1003689 -78.95041 9.55746 "CAR21" 0.46 0.16 0 0 0.11 0 0.2 0.02 0.05
"74" 1003690 -78.95136 9.55877 "CAR22" 0.373913043492435 0.373913043482435 0 0 0.0173913043510435 0 0.0869565217452174 0 0.14782608692887
"75" 1003691 -78.95041 9.55746 "CAR21" 0.32 0.28 0.03 0 0.07 0 0.23 0 0.07
"76" 1003692 -78.87863 9.58341 "CAR25" 0.23 0.27 0.03 0 0.03 0.02 0.21 0.18 0.03
"77" 1003693 -78.87863 9.58341 "CAR25" 0.23 0.4 0.03 0 0 0.01 0.14 0.18 0.01
"78" 1003694 -78.88924 9.58772 "CAR24" 0.19 0.35 0.33 0 0.03 0 0 0 0.1
"79" 1003695 -78.88924 9.58772 "CAR24" 0.31 0.3 0.2 0 0.16 0 0 0 0.03
"80" 1003696 -78.86837 9.5847 "CAR26" 0.409523809470476 0.0761904761938095 0.295238095284762 0 0.219047619050952 0 0 0 0
"81" 1003697 -78.86837 9.5847 "CAR26" 0.26 0.42 0.01 0.02 0 0 0.07 0 0.22
"82" 1003698 -78.88924 9.58772 "CAR24" 0.22 0.71 0 0 0 0 0.03 0 0.04
"83" 1003699 -78.88924 9.58772 "CAR24" 0.33 0.4 0.05 0 0.03 0.02 0.14 0 0.03
"84" 1003777 -81.11185 24.626395 "USEC5" 0.09 0.49 0.13 0 0 0.16 0.05 0 0.08
"85" 1003778 -81.109328 24.625624 "USEC6" 0.24 0.3 0.09 0 0 0.24 0.06 0 0.07
