ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
1,Abalistes stellatus,Abalistes stellatus,species,Abalistes stellatus,Abalistes stellatus,Abalistes,Balistidae,Actinopterygii,219873,1,
2,Abudefduf abdominalis,Abudefduf abdominalis,species,Abudefduf abdominalis,Abudefduf abdominalis,Abudefduf,Pomacentridae,Actinopterygii,254879,1,
3,Abudefduf bengalensis,Abudefduf bengalensis,species,Abudefduf bengalensis,Abudefduf bengalensis,Abudefduf,Pomacentridae,Actinopterygii,212885,1,
4,Abudefduf concolor,Abudefduf concolor,species,Abudefduf concolor,Abudefduf concolor,Abudefduf,Pomacentridae,Actinopterygii,273696,1,
5,Abudefduf conformis,Abudefduf conformis,species,Abudefduf conformis,Abudefduf conformis,Abudefduf,Pomacentridae,Actinopterygii,273697,1,
6,Abudefduf luridus,Abudefduf luridus,species,Abudefduf luridus,Similiparma lurida,Similiparma,Pomacentridae,Actinopterygii,889885,1,
7,Abudefduf notatus,Abudefduf notatus,species,Abudefduf notatus,Abudefduf notatus,Abudefduf,Pomacentridae,Actinopterygii,212870,1,
8,Abudefduf saxatilis,Abudefduf saxatilis,species,Abudefduf saxatilis,Abudefduf saxatilis,Abudefduf,Pomacentridae,Actinopterygii,159288,1,
9,Abudefduf septemfasciatus,Abudefduf septemfasciatus,species,Abudefduf septemfasciatus,Abudefduf septemfasciatus,Abudefduf,Pomacentridae,Actinopterygii,212878,1,
10,Abudefduf sexfasciatus,Abudefduf sexfasciatus,species,Abudefduf sexfasciatus,Abudefduf sexfasciatus,Abudefduf,Pomacentridae,Actinopterygii,159289,1,
11,Abudefduf sordidus,Abudefduf sordidus,species,Abudefduf sordidus,Abudefduf sordidus,Abudefduf,Pomacentridae,Actinopterygii,212888,1,
12,Abudefduf sparoides,Abudefduf sparoides,species,Abudefduf sparoides,Abudefduf sparoides,Abudefduf,Pomacentridae,Actinopterygii,212862,1,
13,Abudefduf spp.,Abudefduf spp.,genus,,,Abudefduf,Pomacentridae,Actinopterygii,,,
14,Abudefduf troschelii,Abudefduf troschelii,species,Abudefduf troschelii,Abudefduf troschelii,Abudefduf,Pomacentridae,Actinopterygii,273702,1,
15,Abudefduf vaigiensis,Abudefduf vaigiensis,species,Abudefduf vaigiensis,Abudefduf vaigiensis,Abudefduf,Pomacentridae,Actinopterygii,212879,1,
16,Abudefduf whitleyi,Abudefduf whitleyi,species,Abudefduf whitleyi,Abudefduf whitleyi,Abudefduf,Pomacentridae,Actinopterygii,273703,1,
17,Acanthaluteres brownii,Acanthaluteres brownii,species,Acanthaluteres brownii,Acanthaluteres brownii,Acanthaluteres,Monacanthidae,Actinopterygii,279462,1,
18,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,species,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Acanthaluteres,Monacanthidae,Actinopterygii,279463,1,
19,Acanthaluteres vittiger,Acanthaluteres vittiger,species,Acanthaluteres vittiger,Acanthaluteres vittiger,Acanthaluteres,Monacanthidae,Actinopterygii,279464,1,
20,Acanthemblemaria crockeri,Acanthemblemaria crockeri,species,Acanthemblemaria crockeri,Acanthemblemaria crockeri,Acanthemblemaria,Chaenopsidae,Actinopterygii,279449,1,
21,Acanthemblemaria hancocki,Acanthemblemaria hancocki,species,Acanthemblemaria hancocki,Acanthemblemaria hancocki,Acanthemblemaria,Chaenopsidae,Actinopterygii,279452,1,
22,Acanthemblemaria spinosa,Acanthemblemaria spinosa,species,Acanthemblemaria spinosa,Acanthemblemaria spinosa,Acanthemblemaria,Chaenopsidae,Actinopterygii,254883,1,
23,Acanthistius cinctus,Acanthistius cinctus,species,Acanthistius cinctus,Acanthistius cinctus,Acanthistius,Serranidae,Actinopterygii,278721,1,
24,Acanthistius ocellatus,Acanthistius ocellatus,species,Acanthistius ocellatus,Acanthistius ocellatus,Acanthistius,Serranidae,Actinopterygii,278723,1,
