"SiteCode","SiteCountry","SiteLatitude","SiteLongitude","SiteMeanSST","SurveyDepth","coral_imputation","log(Biomass)","log(N_Recycling)","log(P_Recycling)","Taxonomic_Richness","Functional_Entropy","Phylogenetic_Entropy","Trait_Distinctiveness","Evolutionary_Distinctiveness","log(Herbivores_Biomass)","log(Invertivores_Biomass)","log(Piscivores_Biomass)","Endemism","Elasmobranch_Diversity","log(Low_Mg_Calcite)","log(High_Mg_Calcite)","log(Aragonite)","log(Monohydrocalcite)","log(Amorphous_Carbonate)","Trophic_Web_Robustness","Mean_Trophic_Level","Turnover_Available_Biomass","Selenium","Zinc","Omega_3","Calcium","Iron","Vitamin_A","log(Available_Biomass)","Aesthetic","Public_Interest","SurveyDate","SiteEcoregion","HDI","MarineEcosystemDependency","log(gravtot2)","mpa_name","mpa_enforcement","protection_status","mpa_iucn_cat","year","NN_score","NP_score"
"ACEH18","Indonesia",5.77726,95.33671,29.1104819277108,4,0.52,4.52387317666706,1.53548405970244,0.498024665891122,52,4.44672284685092,2.04524645369058,0.274460680093853,17.3347030791906,4.06009678048309,4.32764912181552,2.50408671562154,0.641854062344094,0,2.57521565960781,3.79270953720305,2.87375638644089,2.86772163236903,3.45833084125562,1.59041458305381,2.48683277535537,0.450359764156926,27.9563281440579,1.58867684229208,0.136258891331096,47.8278683609986,0.613761899164631,68.9424195177305,4.35920971484446,3001.03160051347,0.515486324621579,"28/02/2009","Western Sumatra",0.69,0.36433,2.1165279430147,NA,NA,"Fishing",NA,2009,0.0692275656896531,0.457852892873231
"ACEH19","Indonesia",5.80058,95.34664,29.1063636363636,3.5,0.255,4.24661876967076,1.51887581108908,0.472722414845971,44.5,2.92992215762811,1.6462500054059,0.268490971246394,16.4813036797988,3.82307329506362,4.02060202519627,1.46131041395298,0.646235180465303,0,2.57403363877799,3.11155594374212,2.16073424039544,2.74509451231356,3.47422518846083,1.6597202967352,2.3802122064066,0.844007711072576,24.6494341821388,1.24864278287779,0.128179761686256,39.8987446883998,0.501875021535042,64.8166783855043,3.854688507302,2984.14317925777,0.513428958448491,"28/02/2009","Western Sumatra",0.69,0.36433,2.27448812864832,NA,NA,"Fishing",NA,2009,-0.262575673634117,0.535372155059027
"ACEH2","Indonesia",5.88102,95.26021,29.0809090909091,4,0.325714285714285,4.4316849866929,1.38238153073177,0.314751311190261,56.5,3.53063141779519,1.8177506204738,0.275999789862493,16.7020238217694,4.13064195448277,4.06095608062342,3.1177168206037,0.621625926053022,0,2.57538584370307,3.39588633862951,1.77296536403442,3.41444859616459,3.48141049618969,1.65784927242085,2.37643125001956,0.46442318318709,29.7289848044613,1.85194509216218,0.116742779467012,43.0707720113772,0.640253731500834,56.0816782196284,4.24045921120609,3367.43399669694,0.539734290237255,"22/02/2009","Western Sumatra",0.69,0.36433,1.80391019505685,"Kawasan Wisata","Medium","Restricted take","VI",2009,-0.0556510977052627,0.645676855690817
"ACEH20","Indonesia",5.88679,95.25651,29.0821741511501,4,0.577424242424243,5.28776662355667,2.07592908895174,0.952040846479907,65,2.30322310602561,1.09300704917376,0.268791021499516,16.7329494989595,5.24367066169686,4.21845028357758,2.68891662188813,0.635785953177258,0,2.67992804629831,3.84070385282658,2.27146895270375,3.53375146019962,3.77417690810847,1.57769709872092,2.16445279387962,0.420985348098679,22.8131349680716,2.07130875839231,0.121517276520497,57.3912600101478,0.716955566649535,47.7024937722439,5.25698485585494,3730.3694593923,0.54018451610889,"1/03/2009","Western Sumatra",0.69,0.36433,1.79365270548341,"Kawasan Wisata","Medium","Restricted take","VI",2009,-0.13650155176737,1.15413628637755
"ACEH21","Indonesia",5.88277,95.24911,29.0623110624315,4,0.01,4.70533881946949,1.64740296305056,0.603741623827885,58,4.53544045668095,1.945637954144,0.283325656259209,18.0215111831633,4.16438420498483,4.46597636697473,3.00822981545437,0.633656928441856,0,2.80549051371166,3.95310228843067,3.10632160622485,3.66367065558541,3.49069055944836,1.75638427927693,2.59885690391631,0.658556004223968,26.9058185588832,1.47353956078454,0.128249739989864,46.2374453746455,0.576839654300719,68.8464521441421,4.35266354552264,3680.93325822342,0.555580473340243,"1/03/2009","Western Sumatra",0.69,0.36433,1.69767649858759,"Kawasan Wisata","Medium","Restricted take","VI",2009,0.518308427595112,1.01568319223864
"ACEH22","Indonesia",5.88289,95.25118,29.0821741511501,4.5,0.0706122448979592,5.09426770225467,1.97600867735222,0.973526490832658,61.5,2.4026520890237,1.19305882753308,0.270339908845591,17.4920904044823,4.69878720637313,4.8666759482276,1.44904345160289,0.619541463013099,0,2.82666865141759,4.77214894628928,3.98655958522443,2.90103912208647,3.6998006802508,1.68783427375418,2.79168254273125,0.764417851909913,29.2067257162173,1.52133627382613,0.128836277874261,51.6991553083022,0.614047798116402,72.5607796782707,5.03306957144472,3536.46007839551,0.536810417809539,"1/03/2009","Western Sumatra",0.69,0.36433,1.69767649858759,"Kawasan Wisata","Medium","Restricted take","VI",2009,0.408646033684371,1.32502281341235
"ACEH23","Indonesia",5.85724,95.361378,29.1216812705367,5.5,0.256716333988809,4.4505417361759,1.32644864400111,0.307528030383784,64,4.01212618445804,2.06535960950252,0.266449672190733,18.3583928576971,3.96674660214786,4.21356662717418,3.18046993469063,0.628190307470574,0,2.72517635529994,3.91649302949291,2.92251296420058,3.10582622553945,3.79521943949484,1.69737776661075,2.69401957989988,0.64278583030178,32.9743321681002,1.4100914394772,0.134176014007132,51.602058370498,0.598048207820233,92.6033127222405,4.16753558111845,3378.51148766114,0.526821487452901,"3/03/2009","Western Sumatra",0.69,0.36433,2.12901001774987,"Panglima Laut","Medium","Restricted take","IV",2009,0.347582230145064,0.858804846117544
"ACEH24","Indonesia",5.89158,95.34356,29.1027765607886,6,0.429988395517292,4.39098189851956,1.36280426144095,0.345755214742229,58,3.97749311801974,1.96117657737874,0.261649098536937,17.4004256258456,3.71844252814758,4.18153226934263,3.36099328311416,0.651842586993796,0,2.75021847326305,3.66709671971294,2.24711295519539,2.85878958116795,3.74112760732171,1.72731249369037,2.63986683876792,0.474078474207537,32.5921334842756,1.37286458465325,0.122487555658666,42.9995290387317,0.524208801329193,102.364607418206,4.10728890567471,3128.54424564261,0.504138840129261,"3/03/2009","Western Sumatra",0.69,0.36433,2.85983948031048,"Panglima Laut","Medium","Restricted take","IV",2009,0.234577173013927,0.400672922259768
"ACEH28","Indonesia",5.87207,95.26658,29.082426067908,6.5,0.227957921368636,4.75103615854131,1.62915932162954,0.660279981133562,79,3.68648053216068,1.72781237705646,0.273598393934829,17.8227428641277,3.79000071538191,4.6596214379466,3.29135082328173,0.640306254313923,0,2.7096328864129,4.33179031198876,3.73529703190373,3.20883132246028,3.80750534473843,1.7981349257415,3.05877997974609,0.329989578022107,30.090720281842,1.25992162352746,0.130825873049472,46.4830117704709,0.560299064566831,82.4593861589393,4.64885528754214,3472.17411549645,0.534454622168632,"5/03/2009","Western Sumatra",0.69,0.36433,1.83464598595913,"Kawasan Wisata","Medium","Restricted take","VI",2009,0.795123840402767,0.610997076365847
"ACEH29","Indonesia",5.60681,95.19375,29.0746166484118,6,0.132898414115646,4.91497667882513,1.81324670908386,0.814070548448519,66,2.92923109763008,1.55309795058153,0.269030381214105,18.0304637739004,4.09939314124135,4.76081164100163,2.67876128867616,0.640854861368914,0,3.20909700589456,3.88309779047505,2.86895481197415,3.09963930530041,4.08162527175458,1.69834064755524,2.50941884359785,0.256695715309242,26.0192326172772,1.41150535987071,0.122863508551984,45.8789030798529,0.535575736989633,84.4363355834139,4.38100569298556,3582.67905994035,0.54164141472987,"7/03/2009","Western Sumatra",0.69,0.36433,2.32596309353847,NA,NA,"Fishing",NA,2009,0.335799124905303,0.477058050392408
